2026-03-18 15:37:49 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 1: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:50 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 167, season 2026
2026-03-18 15:37:50 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 2: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:51 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 167, season 2026
2026-03-18 15:37:52 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 3: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:52 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2534, season 2026
2026-03-18 15:37:52 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 1: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:53 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2534, season 2026
2026-03-18 15:37:54 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 2: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:55 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2534, season 2026
2026-03-18 15:37:56 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 3: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:56 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 167, season 2026
2026-03-18 15:37:56 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 2534, season 2026
2026-03-18 15:37:57 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2440, season 2026
2026-03-18 15:37:57 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 1: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:58 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2440, season 2026
2026-03-18 15:37:59 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 2: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:38:00 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2440, season 2026
2026-03-18 15:38:01 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 3: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:38:01 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 93, season 2026
2026-03-18 15:38:01 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 1: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:38:02 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 93, season 2026
2026-03-18 15:38:03 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 2: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:38:04 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 93, season 2026
2026-03-18 15:38:05 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 3: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:38:05 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 2440, season 2026
2026-03-18 15:38:05 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 93, season 2026
2026-03-18 15:38:06 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 36, season 2026
2026-03-18 15:38:06 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 1: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:38:07 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 36, season 2026
2026-03-18 15:38:08 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 2: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:38:09 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 36, season 2026
2026-03-18 15:38:10 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 3: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:38:10 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2603, season 2026
2026-03-18 15:38:10 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 1: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:38:11 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2603, season 2026
2026-03-18 15:38:12 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 2: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:38:13 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2603, season 2026
2026-03-18 15:38:13 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 3: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:38:13 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 36, season 2026
2026-03-18 15:38:14 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 2603, season 2026
2026-03-18 15:38:15 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 25, season 2026
